model,split,n,event_rate,auc,threshold,sensitivity,specificity,accuracy,brier,auc_bootstrap_95ci
静态临床Logistic,train,52,0.365,0.656,0.396,0.579,0.788,0.712,0.216,
静态临床Logistic,internal_validation,24,0.292,0.723,0.396,0.714,0.824,0.792,0.198,0.492-0.938
静态临床Logistic,external_validation,40,0.35,0.621,0.396,0.571,0.692,0.65,0.216,0.417-0.789
CGM特征模型,train,52,0.365,0.63,0.394,0.526,0.758,0.673,0.223,
CGM特征模型,internal_validation,24,0.292,0.756,0.394,0.143,0.882,0.667,0.197,0.523-0.931
CGM特征模型,external_validation,40,0.35,0.547,0.394,0.429,0.692,0.6,0.227,0.332-0.752
临床+CGM融合模型,train,52,0.365,0.687,0.362,0.737,0.667,0.692,0.21,
临床+CGM融合模型,internal_validation,24,0.292,0.765,0.362,0.571,0.824,0.75,0.198,0.526-0.955
临床+CGM融合模型,external_validation,40,0.35,0.585,0.362,0.571,0.462,0.5,0.236,0.328-0.780
